"name","type","gender","age","polarity","flag","Prolific_ID","attribute","rating"
"Alastor","madeup","male","old","",0,"61521eeb4555a948f961f967","age",40
"Alastor","madeup","male","old","",0,"5db7722d1bf4c8000cffcd58","age",-29
"Alastor","madeup","male","old","",0,"61509b08e90ae2ef4ecad5ac","age",41
"Alastor","madeup","male","old","",0,"614fca30a4c39958a3deaa2c","age",40
"Alastor","madeup","male","old","",0,"61560afe27f7775e20de95aa","age",29
"Alastor","madeup","male","old","",0,"6108c190455dc43b7ef34a64","age",34
"Alastor","madeup","male","old","",0,"615368b5dc63e2f34a487b6c","age",-17
"Alastor","madeup","male","old","",0,"61565782509d1a1b0d42f2a8","age",17
"Alastor","madeup","male","old","",0,"61510290a620f95b74db8259","age",34
"Alastor","madeup","male","old","",0,"61294a45eac455c5cf56c9ba","age",31
"Alastor","madeup","male","old","",0,"61099921a0035b0e2922094e","age",13
"Alastor","madeup","male","old","",0,"6151da3e3db6da9745585c1b","age",34
"Alastor","madeup","male","old","",0,"613c8517c92a0f969bb65533","age",-30
"Alecto","madeup","female","old","",0,"614ee834ee0c28b6006f765e","gender",-50
"Alecto","madeup","female","old","",0,"5e5d824268168509ca89806f","gender",-9
"Alecto","madeup","female","old","",0,"5b5aea995256470001bc0cec","gender",-29
"Alecto","madeup","female","old","",0,"60fd08efc56aed6453585926","gender",-12
"Alecto","madeup","female","old","",0,"5cbb8d6bae305900138b0d6c","gender",-36
"Alecto","madeup","female","old","",0,"615484ff516b4ee1b698f33b","gender",-48
"Alecto","madeup","female","old","",0,"611fd3f10784b9ac086f3fa0","gender",-35
"Alecto","madeup","female","old","",0,"614f656b60ec6475f15b1f21","gender",-50
"Alecto","madeup","female","old","",0,"6151ca50de1738d0a1e4af9c","gender",-50
"Alecto","madeup","female","old","",0,"61526c08384950cebfadf59c","gender",-50
"Alecto","madeup","female","old","",0,"5f887543af7e0e3264b25952","gender",-27
"Alecto","madeup","female","old","",0,"614df3aa78c2ab7a05092e29","gender",-50
"Alecto","madeup","female","old","",0,"6155e0bb17662cfd9293bfd5","gender",-43
"Alecto","madeup","female","old","",0,"6101b58f8391141cbae67c51","gender",-17
"Alecto","madeup","female","old","",0,"61116f30c5fadeb575be6b89","gender",-50
"Alecto","madeup","female","old","",0,"6100b345d68b0c49dc5523a1","gender",-50
"Alecto","madeup","female","old","",0,"61530644cd8d165ac1903bd8","gender",-29
"Alecto","madeup","female","old","",0,"60cea02ec3461971a1e93166","gender",-43
"Alecto","madeup","female","old","",0,"611166a05b55d401c9c15a00","gender",-15
"Alecto","madeup","female","old","",0,"598cbe5651049400015fd93b","gender",-29
"Alecto","madeup","female","old","",0,"614f664f123f500c4ba38265","gender",-36
"Alecto","madeup","female","old","",0,"61080e7c2378d6a7a5a25325","gender",-48
"Alecto","madeup","female","old","",0,"6154363cee704f31fb126101","gender",-50
"Alecto","madeup","female","old","",0,"6155fcd794100a4e05543940","gender",-50
